ID,NO_BORNE,COTE_RUE,ID_VOIE_PUBLIQUE,NOM_TOPOGRAPHIQUE,LONGITUDE,LATITUDE
100760,2578,S,104806,Rue Jacques-Parizeau,-71.221598176476,46.8053814320668
100761,2577,S,104806,Rue Jacques-Parizeau,-71.22161483587807,46.80537115208559
100762,2580,S,104806,Rue Jacques-Parizeau,-71.22147762560425,46.8054520941994
100763,2579,S,104806,Rue Jacques-Parizeau,-71.22149625020069,46.80544180184749
100764,2581,S,104806,Rue Jacques-Parizeau,-71.2213887789773,46.80550394279454
100765,2582,S,104806,Rue Jacques-Parizeau,-71.22137013630027,46.80551288578054
100766,2583,S,104806,Rue Jacques-Parizeau,-71.22126524927398,46.80557037716919
100773,2590,S,104806,Rue Jacques-Parizeau,-71.22071783494047,46.80588276248592
100774,2609,N,104807,Rue Jacques-Parizeau,-71.22047486386312,46.80627205567994
100775,2607,N,104807,Rue Jacques-Parizeau,-71.22033047746106,46.806331998964886
100776,2608,N,104807,Rue Jacques-Parizeau,-71.22035212170995,46.80632507044775
100777,2605,N,104807,Rue Jacques-Parizeau,-71.22018601319003,46.80638515026461
100778,2606,N,104807,Rue Jacques-Parizeau,-71.22020568434256,46.80637960164571
100779,2603,N,104807,Rue Jacques-Parizeau,-71.22003037706229,46.806434728117594
100780,2604,N,104807,Rue Jacques-Parizeau,-71.2200510620697,46.80643053160552
100781,2601,N,104807,Rue Jacques-Parizeau,-71.2198837590086,46.80647772663703
100782,2602,N,104807,Rue Jacques-Parizeau,-71.2199054124954,46.80647148187392
100783,2600,N,104807,Rue Jacques-Parizeau,-71.21982102791266,46.80649562820695
100784,2729,N,104810,Rue Jacques-Parizeau,-71.21732726324515,46.80724321510099
100785,2728,N,104810,Rue Jacques-Parizeau,-71.21719352744839,46.80728475297382
100786,2727,N,104810,Rue Jacques-Parizeau,-71.2171718864179,46.80729099714439
100787,2726,N,104810,Rue Jacques-Parizeau,-71.2170430305322,46.80732707043008
100788,2725,N,104810,Rue Jacques-Parizeau,-71.21702235402662,46.807331950071415
100789,2723,N,104810,Rue Jacques-Parizeau,-71.21687773365332,46.8073708388471
100790,2724,N,104810,Rue Jacques-Parizeau,-71.2169003664447,46.80736527224745
100791,2721,N,104810,Rue Jacques-Parizeau,-71.21672883366273,46.807410114096115
100792,2722,N,104810,Rue Jacques-Parizeau,-71.2167504747931,46.80740387000891
100793,2720,N,104810,Rue Jacques-Parizeau,-71.21662751334571,46.80743788171947
100794,2718,N,104810,Rue Jacques-Parizeau,-71.21648191472158,46.80747813457711
100795,2719,N,104810,Rue Jacques-Parizeau,-71.21650256927246,46.807472580440205
100806,2714,N,104811,Rue Jacques-Parizeau,-71.21592684271698,46.807705735611776
100807,2715,N,104811,Rue Jacques-Parizeau,-71.21594546008414,46.80769476048657
100808,2712,N,104811,Rue Jacques-Parizeau,-71.21577510343538,46.807787904270704
100809,2713,N,104811,Rue Jacques-Parizeau,-71.21579175159285,46.80777762521313
100810,2710,N,104811,Rue Jacques-Parizeau,-71.21564961611944,46.80785583819556
100811,2711,N,104811,Rue Jacques-Parizeau,-71.2156682606798,46.80784690513097
100812,2698,S,104811,Rue Jacques-Parizeau,-71.21579718808157,46.80752568270895
100813,2697,S,104811,Rue Jacques-Parizeau,-71.21581582847209,46.80751743337304
100814,2699,S,104811,Rue Jacques-Parizeau,-71.21569814717442,46.807577176781685
100815,2700,S,104811,Rue Jacques-Parizeau,-71.21567754239697,46.807587480567015
100816,2701,S,104811,Rue Jacques-Parizeau,-71.2155679135375,46.80764978244746
100817,2702,S,104811,Rue Jacques-Parizeau,-71.21554929598894,46.80766074851602
100818,2703,S,104811,Rue Jacques-Parizeau,-71.21543376842678,46.807718930803226
100823,1261,N,104850,Rue Sainte-Anne,-71.20562369475239,46.81299179180163
100825,1262,N,104850,Rue Sainte-Anne,-71.20576907244323,46.81299700399594
100855,2032,S,105196,Rue Saint-Jean,-71.22472962312534,46.8081164558138
100856,2033,S,105196,Rue Saint-Jean,-71.2247060133659,46.80812338860568
100857,2034,S,105196,Rue Saint-Jean,-71.22454200303562,46.808167060982676
100858,2038,S,105196,Rue Saint-Jean,-71.22426397103216,46.80823993735487
100859,2039,S,105196,Rue Saint-Jean,-71.22424035198111,46.808246186381986
100860,2040,S,105196,Rue Saint-Jean,-71.22409162852266,46.80828375177536
100861,2043,S,105196,Rue Saint-Jean,-71.22386878346298,46.808346795811495
100862,2044,S,105196,Rue Saint-Jean,-71.22375197903203,46.80837662888681
100863,2045,S,105196,Rue Saint-Jean,-71.22372637638512,46.808381531893005
100864,2046,S,105197,Rue Saint-Jean,-71.22322099239989,46.80854708472603
100865,2047,S,105197,Rue Saint-Jean,-71.22320148462859,46.808553127630994
100866,2049,S,105197,Rue Saint-Jean,-71.2230147144471,46.808639998446154
100867,2050,S,105197,Rue Saint-Jean,-71.22299112243648,46.808648289229104
100868,2052,S,105197,Rue Saint-Jean,-71.22272556753173,46.808765759209436
100869,2053,S,105197,Rue Saint-Jean,-71.22270395379334,46.80877403744089
100870,2054,S,105197,Rue Saint-Jean,-71.2224634670142,46.808880022036064
100872,2058,S,105199,Rue Saint-Jean,-71.22170246177424,46.80921113198476
100876,2062,S,105201,Rue Saint-Jean,-71.2209268175179,46.80955253098504
100877,2063,S,105201,Rue Saint-Jean,-71.22081021948614,46.80960401410391
100878,2064,S,105201,Rue Saint-Jean,-71.22079158431679,46.80961363167157
100879,2065,S,105201,Rue Saint-Jean,-71.22066591796549,46.80966800562054
100880,2066,S,105201,Rue Saint-Jean,-71.22064333903784,46.80967764799611
100881,2067,S,105201,Rue Saint-Jean,-71.2205209045215,46.809729734341154
100882,2068,S,105201,Rue Saint-Jean,-71.2205003039504,46.80973936423394
100883,2069,S,105201,Rue Saint-Jean,-71.2203932633083,46.80978344569101
100884,2070,S,105201,Rue Saint-Jean,-71.22037565991148,46.80979576461521
100885,2071,S,105201,Rue Saint-Jean,-71.2202590592875,46.809845169015645
100889,2088,S,105203,Rue Saint-Jean,-71.21918815053257,46.81031308612434
100890,2089,S,105203,Rue Saint-Jean,-71.21916952780978,46.810322694351676
100891,2090,S,105203,Rue Saint-Jean,-71.21904500411402,46.8103755479354
100892,2091,S,105203,Rue Saint-Jean,-71.21902935155363,46.81038582120688
100894,2093,S,105204,Rue Saint-Jean,-71.21840057050325,46.810655982339455
100895,2094,S,105204,Rue Saint-Jean,-71.21828963677929,46.81070416162755
100896,2095,S,105204,Rue Saint-Jean,-71.2182710006583,46.81071376979192
100897,2096,S,105204,Rue Saint-Jean,-71.21815541068206,46.81076457813165
100898,2097,S,105204,Rue Saint-Jean,-71.2181347691272,46.81077217466562
100899,2098,S,105204,Rue Saint-Jean,-71.21803196627545,46.81082286666126
100900,2099,S,105204,Rue Saint-Jean,-71.2180127407554,46.81083151586545
100901,2100,S,105204,Rue Saint-Jean,-71.21778377466052,46.81093219138932
100902,2101,S,105204,Rue Saint-Jean,-71.21776513340099,46.8109404410457
100904,2103,S,105204,Rue Saint-Jean,-71.21762599603082,46.81100015001989
100905,2104,S,105204,Rue Saint-Jean,-71.21749243560765,46.81105456996212
100906,2105,S,105205,Rue Saint-Jean,-71.2169455084788,46.811300954190635
100907,2106,S,105205,Rue Saint-Jean,-71.21692687604784,46.811309887381285
100908,2107,S,105205,Rue Saint-Jean,-71.21680709723496,46.81136219600097
